[LAST,FIRST NFL POS,BYE]
Inman,Dontrelle SDC WR,10
Ivory,Chris NYJ RB,11
Jackson,DeSean WAS WR,10
Jackson,Fred BUF RB,9
Jackson,Steven ATL RB,9
Jackson,Tarvaris SEA QB,4
Jackson,Vincent TBB WR,7
Jacobs,Brandon FA RB,0
Jaguars,Jacksonville JAC Def,11
James,LaMichael SFO RB,8
James,Mike TBB RB,7
Jamison,Jawan FA RB,0
Janikowski,Sebastian OAK PK,5
Janis,Jeff GBP WR,9
Jean,Lestar MIN WR,10
Jefferson,DC CAR TE,12
Jeffery,Alshon CHI WR,9
Jenkins,AJ KCC WR,6
Jenkins,Greg OAK WR,5
Jennings,Greg MIN WR,10
Jennings,Rashad NYG RB,8
Jensen,Brock FA QB,0
Jensen,Marcel JAC TE,11
Jernigan,Jerrel NYG WR,8
Jets,New York NYJ Def,11
Johnson,Andre HOU WR,10
Johnson,Antonio TEN DE,9
Johnson,Calvin DET WR,9
Johnson,Charles CLE WR,4
Johnson,Chris NYJ RB,11
Johnson,Damaris PHI WR,7
Johnson,Darius FA WR,0
Johnson,David SDC TE,10
Johnson,Dennis FA RB,0
Johnson,Josh SFO QB,8
Johnson,Quinn FA RB,0
Johnson,Stevie SFO WR,8
Johnson,Storm JAC RB,11
Johnson,Will PIT RB,12
Jones,Chandler FA WR,0
Jones,DaQuan TEN DT,9
Jones,Dominique BUF TE,9
Jones,Dwight FA WR,0
Jones,Felix FA RB,0
Jones,Greg NOS RB,6
Jones,Jacoby BAL WR,11
Jones,James OAK WR,5
Jones,Julio ATL WR,9
Jones,Justin NEP TE,10
Jones,Landry PIT QB,12
Jones,Marvin CIN WR,4
Jones,Seantavius NOS WR,6
Jones,TJ DET WR,9
Jones-Drew,Maurice OAK RB,5
Josey,Henry PHI RB,7
Juszczyk,Kyle BAL RB,11
Kaeding,Nate FA PK,0
Kaepernick,Colin SFO QB,8
Kafka,Mike TBB QB,7
Karim,Deji IND RB,10
Kasa,Nick OAK TE,5
Kearse,Jermaine SEA WR,4
Keenum,Case HOU QB,10
Kelce,Travis KCC TE,6
Keller,Dustin FA TE,0
Kendricks,Lance STL TE,4
Kerley,Jeremy NYJ WR,11
Kern,Brett TEN PN,9
King,Jeff ARI TE,4
King,Tavarres CAR WR,12
Kinne,GJ PHI QB,7
Klug,Karl TEN DE,9
Kolb,Kevin FA QB,0
Kuhn,John GBP RB,9
LaFell,Brandon NEP WR,10
Lacy,Eddie GBP RB,9
Landry,Jarvis MIA WR,5
Larsen,Spencer FA RB,0
Latimer,Cody DEN WR,4
Lattimore,Marcus SFO RB,8
Leach,Vonta FA RB,0
Lee,Marqise JAC WR,11
Leonard,AC FA TE,0
Leonard,Brian FA RB,0
Leonhardt,Brian OAK TE,5
Leshoure,Mikel DET RB,9
Lewis,Dion CLE RB,4
Lewis,Lance SFO WR,8
Lewis,Marcedes JAC TE,11
Lewis,Thaddeus BUF QB,9
Lindell,Rian FA PK,0
Lindley,Ryan ARI QB,4
Line,Zach MIN RB,10
Lions,Detroit DET Def,9
Little,Greg OAK WR,5
Lloyd,Brandon SFO WR,8
Locker,Jake TEN QB,9
Locker,Jake TEN QB,9
Lockette,Ricardo SEA WR,4
Lora,Erik MIN WR,10
Lorig,Erik NOS RB,6
Lucas,Marcus CAR WR,12
Luck,Andrew IND QB,10
Lyerla,Colt GBP TE,9
Lynch,Arthur MIA TE,5
Lynch,Jordan CHI RB,9
Lynch,Marshawn SEA RB,4
Maclin,Jeremy PHI WR,7
Maehl,Jeff PHI WR,7
Malena,Ben DAL RB,11
Mallett,Ryan NEP QB,10
Maneri,Steve NEP TE,10
Manning,Eli NYG QB,8
Manning,Peyton DEN QB,4
Manningham,Mario NYG WR,8
Manuel,EJ BUF QB,9
Manziel,Johnny CLE QB,4
Mariani,Marc TEN WR,9
Marshall,Brandon CHI WR,9
Martin,Doug TBB RB,7
Martin,Keshawn HOU WR,10
Martin,Mike TEN DE,9
Mason,Tre STL RB,4
Massaquoi,Mohamed FA WR,0
Mastrud,Jeron CHI TE,9
Mathews,Ryan SDC RB,10
Matthews,Chris SEA WR,4
Matthews,Jordan PHI WR,7
Matthews,Rishard MIA WR,5
Maysonet,Miguel PIT RB,12
McCarron,AJ CIN QB,4
McCarthy,Colin TEN LB,9
McClain,LeRon FA RB,0
McCluster,Dexter TEN RB,9
McCourty,Jason TEN CB,9
McCown,Josh TBB QB,7
McCown,Luke NOS QB,6
McCoy,Anthony SEA TE,4
McCoy,Colt WAS QB,10
McCoy,LeSean PHI RB,7
McDonald,Vance SFO TE,8
McFadden,Darren OAK RB,5
McGahee,Willis FA RB,0
McGloin,Matt OAK QB,5
McGrath,Sean FA TE,0
McGuffie,Sam FA WR,0
McKinnon,Jerick MIN RB,10
McKnight,Joe KCC RB,6
McManus,Brandon NYG PK,8
McNeill,Mike CAR TE,12
McNutt,Marvin CAR WR,12
Meachem,Robert NOS WR,6
Mellette,Aaron FA WR,0
Mendenhall,Rashard FA RB,0
Mettenberger,Zach TEN QB,9
Mettenberger,Zach TEN QB,9
Michael,Christine SEA RB,4
Millard,Trey SFO RB,8
Miller,Bruce SFO RB,8
Miller,Heath PIT TE,12
Miller,Lamar MIA RB,5
Miller,Zach CHI TE,9
Miller,Zach SEA TE,4
Moe,TJ STL WR,4
Moeaki,Tony BUF TE,9
Momah,Ifeanyi PHI WR,7
Moncrief,Donte IND WR,10
Mooney,Collin TEN RB,9
Moore,Denarius OAK WR,5
Moore,Kellen DET QB,9
Moore,Lance PIT WR,12
Moore,Marlon CLE WR,4
Moore,Matt MIA QB,5
Moreno,Knowshon MIA RB,5
Morgan,Derrick TEN LB,9
Morgan,Joseph NOS WR,6
Morgan,Josh CHI WR,9
Morris,Alfred WAS RB,10
Morris,Stephen JAC QB,11
Moss,Santana WAS WR,10
Moye,Derek PIT WR,12
Mulligan,Matthew CHI TE,9
Murphy,Jake OAK TE,5
Murphy,Louis TBB WR,7
Murray,Aaron KCC QB,6
Murray,DeMarco DAL RB,11
Murray,Latavius OAK RB,5
Myers,Brandon TBB TE,7
Nassib,Ryan NYG QB,8
Neal,Rajion GBP RB,9
Nelson,David NYJ WR,11
Nelson,Jordy GBP WR,9
Neutz,Alex CIN WR,4
Newton,Cam CAR QB,12
Nicks,Hakeem IND WR,10
Niklas,Troy ARI TE,4
Noble,Danny FA TE,0
Norwood,Kevin SEA WR,4
Novak,Nick SDC PK,10
Nugent,Mike CIN PK,4
Obomanu,Ben FA WR,0
Ogbonnaya,Chris CLE RB,4
Ogletree,Kevin DET WR,9
Olawale,Jamize OAK RB,5
Oliver,Branden SDC RB,10
Olsen,Greg CAR TE,12
Onobun,Fendi FA TE,0
Orlovsky,Dan DET QB,9
Orton,Kyle FA QB,0
Osgood,Kassim SFO WR,8
Osweiler,Brock DEN QB,4
Owens,Montell DET RB,9
Owusu,Chris TBB WR,7
Packers,Green Bay GBP Def,9
Page,Eric TBB WR,7
Painter,Curtis NYG QB,8
Palmer,Carson ARI QB,4
Palmer,Jordan CHI QB,9
Palmer,Michael PIT TE,12
Palmer,Tobais NOS WR,6
Panthers,Carolina CAR Def,12
Parker,Preston NYG WR,8
Parkey,Cody PHI PK,7
Pascoe,Bear ATL TE,9
Patriots,New England NEP Def,10
Patterson,Cordarrelle MIN WR,10
Patton,Quinton SFO WR,8
Paul,Niles WAS TE,10
Paulsen,Logan WAS TE,10
Paulson,David PIT TE,12
Pead,Isaiah STL RB,4
Peerman,Cedric CIN RB,4
Perkins,LaDarius GBP RB,9
Perry,Senorise CHI RB,9
Peterson,Adrian MIN RB,10
Pettigrew,Brandon DET TE,9
Pettis,Austin STL WR,4
Phillips,John SDC TE,10
Phillips,Shaun TEN LB,9
Pierce,Bernard BAL RB,11
Pilares,Kealoha CAR WR,12
Pitoitua,Ropati TEN DE,9
Pitta,Dennis BAL TE,11
Polk,Chris PHI RB,7
Pollard,Bernard TEN S,9
Ponder,Christian MIN QB,10
Poole,Tauren PIT RB,12
Posey,DeVier HOU WR,10
Potter,John MIA PK,5
Powell,Bilal NYJ RB,11
Powell,Walter ARI WR,4
Powell,William HOU RB,10
Prater,Matt DEN PK,4
Preston,Michael TEN WR,9
Prosch,Jay HOU RB,10
Pryor,Terrelle SEA QB,4
Quarless,Andrew GBP TE,9
Quick,Brian STL WR,4
Quinn,Brady MIA QB,5
Raiders,Oakland OAK Def,5
Rainey,Bobby TBB RB,7
Rainey,Chris FA RB,0
Rams,St Louis STL Def,4
Randle,Joseph DAL RB,11
Randle,Rueben NYG WR,8
Ravens,Baltimore BAL Def,11
Reaves,Darrin CAR RB,12
Redd,Silas WAS RB,10
Redman,Isaac FA RB,0
Redskins,Washington WAS Def,10
Reece,Marcel OAK RB,5
Reed,David SFO WR,8
Reed,Jordan WAS TE,10
Reedy,Bernard ATL WR,9
Reese,Tevin SDC WR,10
Reisner,Allen MIN TE,10
Renfree,Sean ATL QB,9
Renner,Bryn DEN QB,4
Reuland,Konrad FA TE,0
Reynaud,Darius CHI RB,9
Reynolds,Chase STL RB,4
Rice,Ray BAL RB,11
Rice,Sidney FA WR,0
Richardson,Daryl NYJ RB,11
Richardson,Paul SEA WR,4
Richardson,Trent IND RB,10
Riddick,Theo DET RB,9
Ridley,Stevan NEP RB,10
Rivera,Mychal OAK TE,5
Rivers,Philip SDC QB,10
Roberts,Andre WAS WR,10
Robinson,Adrien NYG TE,8
Robinson,Aldrick WAS WR,10
Robinson,Allen JAC WR,11
Robinson,Denard JAC RB,11
Robinson,Gerrell DEN TE,4
Robinson,Khiry NOS RB,6
Robinson,Michael FA RB,0
Robiskie,Brian TEN WR,9
Rodgers,Aaron GBP QB,9
Rodgers,Jacquizz ATL RB,9
Rodgers,Jordan FA QB,0
Rodgers,Richard GBP TE,9
Rodriguez,Evan BUF TE,9
Roethlisberger,Ben PIT QB,12
Rogers,DaRick IND WR,10
Romo,Tony DAL QB,11
Rosario,Dante CHI TE,9
Ross,Jeremy DET WR,9
Royal,Eddie SDC WR,10
Royster,Evan WAS RB,10
Rudolph,Kyle MIN TE,10
Rugland,Havard FA PK,0
Ryan,Matt ATL QB,9
Saints,New Orleans NOS Def,6
Salas,Greg NYJ WR,11
Sanchez,Mark PHI QB,7
Sanders,Ace JAC WR,11
Sanders,Emmanuel DEN WR,4
Sankey,Bishop TEN RB,9
Santos,Cairo KCC PK,6
Sanu,Mohamed CIN WR,4
Sanzenbacher,Dane CIN WR,4
Saunders,Jalen NYJ WR,11
Saunders,Weslye IND TE,10
Savage,Tom HOU QB,10
Schaub,Matt OAK QB,5
Scheffler,Tony FA TE,0
Scobee,Josh JAC PK,11
Scott,Bernard FA RB,0
Scott,DaRel FA RB,0
Scott,Jeff FA RB,0
Scott,Matt CIN QB,4
Seahawks,Seattle SEA Def,4
Seastrunk,Lache WAS RB,10
Seferian-Jenkins,Austin TBB TE,7
Sensabaugh,Coty TEN CB,9
Shaw,Connor CLE QB,4
Sheets,Kory OAK RB,5
Shepard,Russell TBB WR,7
Sherman,Anthony KCC RB,6
Shiancoe,Visanthe FA TE,0
Shorts,Cecil JAC WR,11
Simms,Matt NYJ QB,11
Simpson,Jerome MIN WR,10
Sims,Charles TBB RB,7
Sims,Dion MIA TE,5
Skelton,John FA QB,0
Slater,Matt NEP WR,10
Small,Kiero SEA RB,4
Smelley,Brad STL TE,4
Smith,Alex CIN TE,4
Smith,Alex KCC QB,6
Smith,Alfonso SFO RB,8
Smith,Andre FA TE,0
Smith,Antone ATL RB,9
Smith,Armond FA RB,0
Smith,Brad PHI WR,7
Smith,Brett FA QB,0
Smith,Geno NYJ QB,11
Smith,Lee BUF TE,9
Smith,Michael NYJ RB,11
Smith,Rodney MIN WR,10
Smith,Rusty FA QB,0
Smith,Steve BAL WR,11
Smith,Torrey BAL WR,11
Snead,Willie CLE WR,4
Snelling,Jason FA RB,0
Sorensen,Brad SDC QB,10
Spadola,Ryan MIA WR,5
Spaeth,Matt PIT TE,12
Spann,Chad FA RB,0
Spear,Carey PHI PK,7
Sperry,Kory MIN TE,10
Spiller,CJ BUF RB,9
Sproles,Darren PHI RB,7
Spurlock,Micheal CHI WR,9
Stacy,Zac STL RB,4
Stafford,Daimion TEN S,9
Stafford,Matthew DET QB,9
Stanton,Drew ARI QB,4
Stanzi,Ricky JAC QB,11
Starks,James GBP RB,9
Steelers,Pittsburgh PIT Def,12
Stephens0Howling,LaRod FA RB,0
Stevens,Craig TEN TE,9
Stewart,Jeremy OAK RB,5
Stewart,Jonathan CAR RB,12
Stewart,Josh FA WR,0
